,Student_ID,Attendance_Percent,Assignment_Score,Midterm_Score,Final_Exam_Score,Project_Score,Participation_Score,Overall_Score,Status
43,STU202400044,67.72,95.27,69.34,78.32,82.17,68.62,80.37,Pass
44,STU202400045,74.4,63.27,92.99,67.66,74.23,67.21,72.57,Pass
45,STU202400046,81.57,29.27,78.36,77.76,84.17,69.46,65.89,Pass
46,STU202400047,74.93,73.05,71.63,52.96,77.39,74.84,67.57,Pass
47,STU202400048,90.39,44.73,70.9,78.36,69.12,66.71,65.91,Pass
48,STU202400049,85.66,78.62,60.35,55.78,68.52,80.95,66.83,Pass
49,STU202400050,64.49,58.51,48.48,71.24,71.54,64.84,62.91,Pass
50,STU202400051,82.51,77.14,86.02,94.2,94.27,73.08,86.2,Pass
51,STU202400052,88.95,59.2,85.93,69.31,75.43,80.07,72.1,Pass
52,STU202400053,77.64,54.54,48.07,74.0,76.36,56.25,62.53,Pass
53,STU202400054,63.99,54.9,48.46,47.05,73.97,58.89,54.52,Pass
54,STU202400055,92.37,77.96,80.6,81.51,61.88,78.72,77.22,Pass
55,STU202400056,68.13,52.17,62.24,61.96,53.67,76.08,59.74,Pass
56,STU202400057,71.84,80.19,50.18,50.04,79.59,59.47,62.98,Pass
57,STU202400058,85.19,98.66,39.12,58.09,63.3,59.81,65.39,Pass
58,STU202400059,93.66,97.07,59.68,54.67,80.99,81.99,72.95,Pass
59,STU202400060,94.08,48.05,70.35,60.4,74.94,80.47,63.49,Pass
60,STU202400061,74.49,51.79,62.91,62.82,88.49,63.59,64.01,Pass
61,STU202400062,93.06,79.22,44.13,62.38,85.33,68.75,67.02,Pass
62,STU202400063,76.35,55.98,57.41,62.28,83.29,61.24,62.78,Pass
63,STU202400064,79.13,81.28,77.99,67.49,63.27,66.16,72.27,Pass
64,STU202400065,74.0,46.35,96.49,76.74,47.69,65.99,67.66,Pass
65,STU202400066,91.84,70.93,68.84,63.8,91.3,64.02,70.74,Pass
66,STU202400067,60.0,86.16,86.59,83.5,76.04,67.86,82.1,Pass
67,STU202400068,75.99,48.72,80.98,60.7,73.55,80.42,65.66,Pass
68,STU202400069,92.47,70.25,57.55,51.59,71.91,71.13,62.45,Pass
69,STU202400070,84.9,70.04,84.88,85.4,82.01,63.61,78.77,Pass
70,STU202400071,97.07,81.1,88.24,68.02,90.47,74.96,79.39,Pass
71,STU202400072,90.72,61.97,59.29,53.66,67.81,83.75,61.99,Pass
72,STU202400073,75.34,50.58,68.32,65.62,53.88,66.49,60.73,Pass
73,STU202400074,90.17,34.14,57.83,49.94,98.15,77.24,57.53,Pass
74,STU202400075,92.14,91.88,45.37,46.71,80.06,93.48,67.41,Pass
75,STU202400076,62.94,84.52,86.42,78.44,80.82,61.11,80.18,Pass
76,STU202400077,73.66,71.63,96.85,91.72,41.11,75.05,78.47,Pass
77,STU202400078,71.78,71.23,66.89,55.96,78.55,72.16,66.97,Pass
78,STU202400079,93.79,78.38,58.38,50.18,49.28,83.16,62.03,Pass
79,STU202400080,96.91,86.49,87.22,91.01,71.1,73.29,84.36,Pass
80,STU202400081,96.76,41.74,89.17,70.73,84.06,83.03,70.4,Pass
81,STU202400082,69.23,45.3,52.41,47.46,79.17,59.01,53.82,Pass
82,STU202400083,86.59,43.11,70.52,43.36,84.19,78.64,58.38,Pass
83,STU202400084,96.1,66.81,100.0,98.28,67.96,90.19,85.4,Pass
84,STU202400085,74.01,74.73,100.0,100.0,63.11,58.13,83.96,Pass
85,STU202400086,89.58,87.19,51.37,55.58,70.5,77.56,67.08,Pass
86,STU202400087,67.05,28.34,42.95,53.12,74.66,70.46,49.86,Pass
87,STU202400088,83.28,51.93,74.32,69.6,67.5,86.56,67.51,Pass
88,STU202400089,84.28,73.96,80.83,60.36,73.67,61.52,69.97,Pass
89,STU202400090,80.67,75.82,80.95,81.01,75.18,69.53,77.68,Pass
90,STU202400091,86.74,69.0,77.81,88.09,78.4,78.15,78.82,Pass
91,STU202400092,77.53,55.12,73.11,68.84,100.0,69.35,70.99,Pass
92,STU202400093,87.52,61.51,60.36,69.78,62.4,71.28,64.87,Pass
93,STU202400094,85.11,69.95,56.6,48.44,84.13,60.77,62.04,Pass
94,STU202400095,60.0,46.25,82.47,62.89,75.4,55.86,63.82,Pass
95,STU202400096,79.57,59.2,55.3,63.79,98.74,60.36,65.85,Pass
96,STU202400097,90.99,51.29,37.99,66.1,63.77,77.53,57.57,Pass
97,STU202400098,87.82,79.53,70.59,60.09,72.06,83.83,71.22,Pass
98,STU202400099,89.51,58.28,73.14,66.7,70.27,86.35,68.39,Pass
99,STU202400100,88.43,52.39,100.0,91.31,48.31,80.89,75.83,Pass
100,STU202400101,76.43,64.24,68.6,60.82,75.03,84.97,67.78,Pass
101,STU202400102,90.94,83.29,44.12,57.3,76.58,92.45,67.57,Pass
102,STU202400103,80.61,71.66,89.95,67.55,66.77,62.89,72.47,Pass
103,STU202400104,87.52,88.53,67.11,70.49,47.85,76.81,71.56,Pass
104,STU202400105,85.22,86.23,65.12,61.29,86.59,85.67,74.53,Pass
105,STU202400106,91.38,60.75,47.06,34.07,97.3,85.66,57.98,Pass
106,STU202400107,76.68,74.02,77.17,58.93,91.26,78.48,73.16,Pass
107,STU202400108,83.15,88.47,70.81,71.42,75.45,74.41,76.46,Pass
108,STU202400109,76.35,64.76,69.43,82.93,73.21,48.67,70.8,Pass
109,STU202400110,94.68,75.6,84.88,60.19,91.03,91.29,76.72,Pass
110,STU202400111,94.93,58.47,87.06,89.45,90.85,84.77,80.97,Pass
111,STU202400112,74.61,68.62,73.77,74.26,77.51,60.74,71.89,Pass
112,STU202400113,61.35,68.13,77.69,83.13,75.99,55.56,74.47,Pass
113,STU202400114,69.51,81.41,74.25,67.7,83.48,66.71,74.7,Pass
114,STU202400115,60.0,66.25,98.1,91.42,77.51,45.99,79.83,Pass
115,STU202400116,90.98,75.23,51.68,78.2,92.47,91.74,75.65,Pass
116,STU202400117,60.0,77.72,48.46,56.36,82.38,54.5,63.84,Pass
117,STU202400118,65.76,60.16,46.61,41.23,84.25,53.06,54.67,Pass
118,STU202400119,81.63,65.96,77.31,88.78,83.68,86.71,79.81,Pass
119,STU202400120,71.33,78.95,65.96,70.94,73.86,55.45,70.83,Pass
120,STU202400121,76.76,99.58,48.09,56.79,98.47,63.55,72.67,Pass
121,STU202400122,60.0,53.14,64.52,85.19,73.92,58.26,68.66,Pass
122,STU202400123,87.56,79.88,100.0,100.0,72.71,76.58,88.53,Pass
123,STU202400124,74.45,90.21,75.69,76.17,71.75,66.14,77.92,Pass
124,STU202400125,69.9,73.43,94.55,70.88,98.32,65.89,79.87,Pass
125,STU202400126,97.59,58.45,44.54,47.31,53.26,81.11,53.81,Fail
126,STU202400127,71.45,71.21,73.26,71.24,67.08,58.25,69.71,Pass
127,STU202400128,96.72,57.49,77.23,71.01,84.33,100.0,73.77,Pass
128,STU202400129,70.7,64.46,80.46,67.59,79.63,80.44,72.47,Pass
129,STU202400130,67.64,77.78,63.44,60.74,78.26,58.65,67.96,Pass
130,STU202400131,92.34,71.09,85.76,89.07,80.77,73.28,81.09,Pass
131,STU202400132,69.89,74.94,76.85,73.59,90.0,68.87,76.57,Pass
132,STU202400133,88.24,54.46,69.59,61.11,78.07,78.45,65.42,Pass
133,STU202400134,91.84,62.84,60.29,69.07,77.52,58.64,65.98,Pass
134,STU202400135,89.43,81.2,41.26,56.49,92.4,72.65,66.62,Pass
135,STU202400136,75.04,46.88,33.5,44.66,78.09,49.73,48.51,Pass
136,STU202400137,84.04,52.11,55.88,45.22,84.58,68.85,57.34,Pass
137,STU202400138,85.95,67.42,65.22,62.69,41.38,80.66,62.98,Pass
138,STU202400139,60.0,64.24,55.83,58.38,69.41,59.48,61.1,Pass
139,STU202400140,81.69,83.54,74.2,80.1,66.01,55.99,75.26,Pass
140,STU202400141,91.13,36.08,82.81,66.1,65.55,76.26,62.87,Pass
141,STU202400142,93.17,70.76,45.49,48.97,70.51,83.35,60.39,Pass
142,STU202400143,90.6,92.56,77.89,90.19,70.14,86.92,84.99,Pass
143,STU202400144,81.24,76.91,67.52,62.66,86.56,72.43,71.75,Pass
144,STU202400145,90.96,48.99,36.98,46.84,65.25,81.35,51.62,Pass
145,STU202400146,78.2,100.0,84.35,97.52,87.39,65.05,90.74,Pass
146,STU202400147,96.04,63.8,51.16,44.96,85.05,77.4,60.17,Pass
147,STU202400148,90.67,35.49,100.0,100.0,61.33,74.38,75.51,Pass
148,STU202400149,78.71,84.18,89.02,73.82,56.24,70.23,76.46,Pass
149,STU202400150,80.23,59.88,65.44,66.87,71.2,58.36,64.63,Pass
150,STU202400151,84.06,100.0,67.97,69.29,90.05,63.81,79.27,Pass
151,STU202400152,84.7,82.82,42.96,47.98,79.02,77.68,63.31,Pass
152,STU202400153,91.28,100.0,99.62,73.48,98.66,77.94,89.56,Pass
153,STU202400154,96.65,56.2,52.71,48.7,56.59,74.77,55.17,Pass
154,STU202400155,74.75,91.17,68.76,63.81,58.53,67.81,71.25,Pass
155,STU202400156,80.37,59.8,56.44,49.48,60.37,65.78,56.72,Pass
156,STU202400157,70.06,77.15,76.3,70.72,84.23,66.89,75.09,Pass
157,STU202400158,71.62,74.59,67.62,56.47,83.89,66.3,68.33,Pass
158,STU202400159,83.05,92.81,56.73,48.26,81.54,71.48,68.4,Pass
159,STU202400160,76.45,84.15,76.36,51.82,78.76,59.62,69.63,Pass
160,STU202400161,77.44,65.03,95.07,100.0,94.32,62.63,85.68,Pass
161,STU202400162,77.18,88.33,68.88,65.15,74.64,63.36,72.93,Pass
162,STU202400163,74.7,70.62,28.57,34.05,89.91,58.02,52.87,Pass
163,STU202400164,68.17,82.4,74.76,58.1,100.0,63.22,74.31,Pass
164,STU202400165,97.46,76.43,41.42,43.31,66.47,85.25,58.88,Pass
165,STU202400166,75.47,68.8,43.35,28.65,69.03,76.5,52.47,Pass
166,STU202400167,81.69,52.15,41.48,42.68,50.17,71.22,48.78,Pass
167,STU202400168,88.5,75.05,80.71,81.93,84.02,77.28,79.82,Pass
168,STU202400169,81.14,61.87,41.86,42.36,70.85,65.48,53.72,Fail
169,STU202400170,93.28,53.55,85.77,83.88,74.02,78.37,74.64,Pass
170,STU202400171,75.9,84.46,82.6,85.55,100.0,71.25,85.42,Pass
171,STU202400172,65.39,62.54,52.47,64.21,83.17,60.05,63.87,Pass
172,STU202400173,82.53,44.92,76.62,71.38,64.06,90.43,66.62,Pass
173,STU202400174,64.89,72.03,89.21,92.62,70.09,53.44,79.49,Pass
174,STU202400175,70.45,69.72,57.52,73.0,65.7,50.83,65.77,Pass
175,STU202400176,98.17,71.07,90.18,70.62,80.11,77.04,76.71,Pass
176,STU202400177,85.98,71.06,71.04,57.23,77.5,87.65,69.53,Pass
177,STU202400178,73.22,56.91,55.59,53.07,92.18,77.67,62.86,Pass
178,STU202400179,92.14,66.01,82.87,70.99,79.67,76.98,74.02,Pass
179,STU202400180,65.88,87.59,54.93,72.02,71.93,61.73,71.45,Pass
180,STU202400181,90.21,84.82,92.95,90.35,78.84,86.68,87.39,Pass
181,STU202400182,80.81,66.7,47.26,54.98,61.41,81.1,59.94,Pass
182,STU202400183,88.31,80.78,91.57,82.0,69.58,58.99,79.44,Pass
183,STU202400184,90.69,73.4,71.92,55.07,76.38,81.09,68.82,Pass
184,STU202400185,88.84,67.05,80.82,86.69,95.34,89.2,82.15,Pass
185,STU202400186,77.31,90.7,60.92,63.69,86.49,72.62,74.2,Pass
186,STU202400187,72.5,58.58,75.05,57.45,78.4,50.81,63.73,Pass
187,STU202400188,79.62,76.6,22.46,18.27,81.66,88.24,50.2,Pass
188,STU202400189,60.0,47.05,71.93,52.9,90.29,62.63,61.83,Pass
189,STU202400190,80.18,77.41,44.36,52.5,74.33,59.61,61.08,Pass
190,STU202400191,81.74,62.1,81.46,43.33,87.33,67.89,64.71,Pass
191,STU202400192,82.16,66.27,58.37,46.0,69.93,78.48,60.38,Pass
192,STU202400193,76.65,67.63,58.2,65.69,79.31,65.51,66.7,Pass
193,STU202400194,88.28,38.72,47.05,47.99,89.31,87.8,55.66,Pass
194,STU202400195,64.15,47.79,71.31,46.48,88.3,67.08,60.11,Pass
195,STU202400196,80.86,84.45,52.75,49.08,52.35,75.42,61.78,Pass
196,STU202400197,82.12,73.57,67.05,64.06,78.26,65.77,69.34,Pass
197,STU202400198,86.88,93.88,62.12,73.54,84.7,78.57,78.52,Pass
198,STU202400199,84.3,51.48,49.56,60.19,69.17,91.25,60.34,Pass
199,STU202400200,81.62,84.77,61.01,66.63,87.75,77.5,74.29,Pass
200,STU202400201,76.31,78.91,57.37,68.06,61.79,74.41,68.33,Pass
201,STU202400202,81.33,89.47,85.47,56.18,63.77,60.99,71.98,Pass
202,STU202400203,96.85,70.39,88.46,93.01,38.65,79.85,76.98,Pass
203,STU202400204,98.29,73.72,44.25,66.52,70.33,84.21,66.21,Pass
204,STU202400205,92.68,58.84,71.48,60.54,47.14,80.6,62.3,Pass
205,STU202400206,82.92,67.94,62.96,26.83,90.59,81.23,59.34,Pass
206,STU202400207,79.42,64.63,52.17,72.26,100.0,61.63,69.43,Pass
207,STU202400208,66.93,52.12,70.62,34.36,62.97,64.02,53.31,Fail
208,STU202400209,87.09,74.04,76.44,75.41,72.56,77.12,75.02,Pass
209,STU202400210,74.7,86.13,20.09,31.64,76.4,78.46,54.35,Fail
210,STU202400211,60.9,89.7,86.09,69.43,63.95,59.71,76.04,Pass
211,STU202400212,81.76,59.84,80.8,68.29,80.33,67.97,70.45,Pass
212,STU202400213,97.8,71.45,67.53,67.11,72.8,66.69,69.09,Pass
213,STU202400214,65.65,69.98,52.2,30.59,57.37,59.83,51.7,Pass
214,STU202400215,85.41,94.12,76.81,68.8,80.31,75.14,79.09,Pass
215,STU202400216,86.3,98.79,56.21,41.59,81.78,74.6,68.15,Pass
216,STU202400217,82.12,52.43,90.86,73.47,48.33,82.82,68.85,Pass
217,STU202400218,88.84,79.3,84.16,77.44,74.81,82.74,79.38,Pass
218,STU202400219,68.79,79.97,68.35,76.52,69.47,59.11,72.95,Pass
219,STU202400220,78.38,68.99,53.51,48.28,78.6,65.39,60.76,Pass
220,STU202400221,83.23,53.06,76.93,92.64,92.32,74.73,77.76,Pass
221,STU202400222,70.45,82.58,82.26,63.63,90.16,55.71,75.28,Pass
222,STU202400223,72.23,90.24,61.98,51.78,88.38,63.8,70.13,Pass
223,STU202400224,81.17,63.8,75.41,82.59,76.9,71.78,74.52,Pass
224,STU202400225,76.02,89.95,59.36,57.64,71.58,62.39,68.63,Pass
225,STU202400226,79.77,72.06,36.64,49.15,48.33,68.99,54.24,Pass
226,STU202400227,92.97,93.33,38.07,41.97,85.47,73.33,63.69,Pass
227,STU202400228,87.16,93.3,70.81,63.0,87.5,96.34,79.15,Pass
228,STU202400229,75.25,71.65,95.42,86.45,53.29,81.23,79.05,Pass
229,STU202400230,84.43,78.26,50.59,70.61,80.95,71.73,70.18,Pass
230,STU202400231,63.87,61.46,53.51,58.79,88.35,51.64,62.12,Pass
231,STU202400232,60.0,47.65,73.41,74.19,63.61,33.26,61.72,Pass
232,STU202400233,80.16,75.76,68.66,77.98,85.34,59.67,74.83,Pass
233,STU202400234,85.42,50.01,73.14,63.3,59.96,82.43,63.36,Pass
234,STU202400235,91.04,100.0,77.32,59.64,68.99,77.66,76.47,Pass
235,STU202400236,91.39,89.08,67.67,53.31,59.78,81.12,68.88,Pass
236,STU202400237,91.33,69.73,70.46,56.65,85.57,83.47,69.7,Pass
237,STU202400238,91.08,100.0,47.72,41.1,85.51,75.24,67.23,Pass
238,STU202400239,77.94,62.54,60.47,74.48,68.09,78.67,68.15,Pass
239,STU202400240,71.71,66.11,90.72,56.82,58.77,69.26,67.46,Pass
240,STU202400241,76.23,65.93,76.48,77.98,100.0,66.84,76.86,Pass
241,STU202400242,77.32,71.04,73.02,54.11,75.98,68.37,66.83,Pass
242,STU202400243,84.93,67.35,52.3,77.87,74.32,83.39,70.15,Pass
243,STU202400244,61.85,78.85,53.52,61.94,64.72,64.72,65.18,Pass
244,STU202400245,92.26,57.02,48.66,43.68,62.31,67.79,53.22,Pass
245,STU202400246,70.38,73.92,34.97,39.48,81.96,74.27,57.04,Pass
246,STU202400247,71.01,63.86,63.16,61.89,79.59,67.08,65.81,Pass
247,STU202400248,83.38,72.94,60.99,69.22,68.26,69.99,68.44,Pass
248,STU202400249,79.88,55.76,71.33,71.83,85.84,63.81,69.01,Pass
249,STU202400250,89.6,59.03,86.64,76.82,72.22,75.84,73.55,Pass
250,STU202400251,60.0,100.0,56.72,50.55,83.29,56.85,69.69,Pass
251,STU202400252,76.22,58.18,90.48,75.81,80.11,61.03,73.51,Pass
252,STU202400253,94.08,79.85,77.26,87.46,72.99,83.39,80.94,Pass
253,STU202400254,64.41,63.95,93.6,100.0,84.74,50.61,82.48,Pass
254,STU202400255,72.65,56.74,47.49,66.73,89.3,46.36,61.73,Pass
255,STU202400256,80.84,72.96,89.11,66.99,88.23,72.12,76.61,Pass
256,STU202400257,82.1,58.97,55.86,75.71,56.05,76.75,64.71,Pass
257,STU202400258,79.47,79.77,53.68,53.24,89.23,77.68,67.8,Pass
258,STU202400259,87.84,70.13,66.94,65.2,81.48,85.95,71.3,Pass
259,STU202400260,82.61,92.04,52.73,41.49,83.01,59.78,64.43,Pass
260,STU202400261,60.33,52.42,75.73,71.8,47.56,59.04,62.83,Pass
261,STU202400262,64.33,76.14,83.14,65.46,55.98,67.27,70.43,Pass
262,STU202400263,83.16,77.56,76.89,87.64,71.83,73.68,79.2,Pass
263,STU202400264,77.09,57.05,66.99,95.72,51.52,68.48,70.95,Pass
264,STU202400265,89.77,62.04,89.23,78.52,97.34,81.74,79.69,Pass
265,STU202400266,73.85,50.65,75.71,76.15,63.88,75.59,67.79,Pass
266,STU202400267,89.05,48.6,65.39,60.54,59.65,77.46,60.08,Pass
267,STU202400268,86.64,70.22,65.7,65.86,69.73,77.91,68.71,Pass
268,STU202400269,95.15,84.1,52.08,49.15,72.13,76.07,64.62,Pass
269,STU202400270,79.58,70.03,50.65,59.12,78.35,64.28,63.55,Pass
270,STU202400271,88.9,70.65,59.81,65.71,45.5,65.09,62.67,Pass
271,STU202400272,76.43,52.53,49.05,58.02,57.76,53.83,54.39,Pass
272,STU202400273,60.0,40.48,47.3,62.34,67.5,61.44,54.55,Pass
273,STU202400274,78.8,77.13,51.49,51.52,82.29,68.99,64.28,Pass
274,STU202400275,70.36,62.09,87.35,100.0,71.76,63.05,80.06,Pass
275,STU202400276,74.87,44.99,53.45,49.24,77.21,73.14,55.6,Pass
276,STU202400277,60.0,63.84,82.85,66.75,89.47,71.76,73.15,Pass
277,STU202400278,89.59,75.74,56.47,28.69,73.96,78.49,57.78,Pass
278,STU202400279,96.67,78.04,71.41,76.95,81.2,73.06,76.36,Pass
279,STU202400280,98.67,74.98,53.35,22.69,73.83,84.58,55.76,Pass
280,STU202400281,81.53,61.57,71.53,63.82,92.19,78.97,70.57,Pass
281,STU202400282,76.71,80.92,100.0,75.97,83.78,54.74,81.06,Pass
282,STU202400283,93.03,71.69,55.44,41.0,39.02,89.62,56.13,Pass
283,STU202400284,80.6,58.86,62.71,63.4,80.05,64.08,64.69,Pass
284,STU202400285,88.25,55.24,46.62,74.18,100.0,88.14,69.2,Pass
285,STU202400286,79.68,74.94,87.79,86.43,90.9,69.67,82.83,Pass
286,STU202400287,71.07,85.03,90.66,70.24,68.72,57.2,76.49,Pass
287,STU202400288,79.43,80.91,51.22,79.62,85.13,75.09,74.63,Pass
288,STU202400289,89.05,74.45,65.17,55.31,63.52,71.82,64.95,Pass
289,STU202400290,79.86,81.5,75.57,83.47,72.45,52.15,76.61,Pass
290,STU202400291,86.04,100.0,69.21,45.67,65.71,73.02,69.7,Pass
291,STU202400292,87.5,76.32,51.35,53.02,76.76,89.45,65.71,Pass
292,STU202400293,84.31,74.36,50.6,41.1,100.0,67.73,62.81,Pass
293,STU202400294,89.94,80.17,45.83,77.43,53.32,64.2,66.85,Pass
294,STU202400295,85.48,83.25,86.44,68.56,84.37,66.29,77.95,Pass
295,STU202400296,80.97,51.96,79.94,60.71,65.76,66.98,63.75,Pass
296,STU202400297,95.78,74.66,98.03,89.4,63.58,94.12,84.04,Pass
297,STU202400298,60.0,87.06,49.85,51.92,80.67,42.99,63.71,Pass
298,STU202400299,70.85,98.18,73.39,94.8,75.39,62.05,85.18,Pass
299,STU202400300,87.24,72.3,70.45,70.98,79.44,65.47,71.92,Pass
300,STU202400301,96.51,65.19,74.68,70.59,74.37,86.25,72.19,Pass
301,STU202400302,75.07,74.47,78.97,81.03,72.99,76.06,77.28,Pass
302,STU202400303,81.82,62.34,100.0,82.34,76.26,75.6,79.28,Pass
303,STU202400304,67.33,95.54,100.0,87.86,73.77,63.49,87.66,Pass
304,STU202400305,88.97,79.21,74.47,59.63,71.94,67.91,70.17,Pass
305,STU202400306,90.99,71.21,97.07,75.78,75.76,75.21,78.83,Pass
306,STU202400307,87.6,88.7,52.49,45.53,68.49,76.68,64.27,Pass
307,STU202400308,83.68,54.7,66.21,69.41,94.23,84.72,70.35,Pass
308,STU202400309,92.86,40.92,53.65,49.21,54.03,70.16,50.84,Fail
309,STU202400310,83.89,78.33,72.54,77.88,56.42,67.71,72.69,Pass
310,STU202400311,83.99,88.11,77.46,61.09,95.6,75.82,77.77,Pass
311,STU202400312,81.58,69.87,100.0,73.4,84.28,82.3,80.36,Pass
312,STU202400313,84.12,61.81,51.24,58.6,58.73,68.49,58.94,Pass
313,STU202400314,72.96,57.65,91.87,81.79,84.3,83.85,78.35,Pass
314,STU202400315,70.26,53.48,60.56,71.62,65.5,59.05,62.7,Pass
315,STU202400316,60.0,81.98,57.95,45.58,80.39,47.99,62.62,Pass
316,STU202400317,67.27,84.27,63.76,44.8,74.65,59.18,64.37,Pass
317,STU202400318,83.91,85.77,100.0,99.59,81.22,66.94,90.2,Pass
318,STU202400319,82.35,72.11,32.7,28.37,77.06,73.84,52.02,Pass
319,STU202400320,60.0,54.66,76.14,80.64,64.02,63.6,69.05,Pass
320,STU202400321,67.96,61.28,88.27,49.74,68.36,68.61,65.01,Pass
321,STU202400322,70.5,80.98,50.59,62.17,76.11,70.57,67.49,Pass
322,STU202400323,75.6,56.44,77.6,71.42,56.67,65.01,66.06,Pass
323,STU202400324,64.51,70.47,54.98,62.84,67.09,60.88,63.62,Pass
324,STU202400325,70.72,56.74,100.0,94.21,72.15,52.15,78.48,Pass
325,STU202400326,78.35,61.55,44.8,63.25,75.28,61.55,60.77,Pass
326,STU202400327,89.31,54.72,78.43,77.64,66.86,85.37,71.22,Pass
327,STU202400328,62.18,72.24,60.22,71.15,84.78,56.89,69.86,Pass
328,STU202400329,85.12,50.05,65.49,77.77,54.98,74.16,64.6,Pass
329,STU202400330,60.0,60.59,62.8,77.97,75.25,59.94,68.38,Pass
330,STU202400331,76.72,84.77,87.98,84.01,82.75,51.59,81.56,Pass
331,STU202400332,93.93,87.73,71.51,56.54,100.0,83.19,76.51,Pass
332,STU202400333,60.0,82.06,42.69,47.6,57.64,53.36,57.32,Pass
333,STU202400334,76.61,93.23,74.87,68.73,49.21,74.95,73.78,Pass
334,STU202400335,90.68,52.21,73.07,60.69,87.73,77.6,66.79,Pass
335,STU202400336,90.95,70.63,86.94,63.41,80.71,70.89,73.26,Pass
336,STU202400337,61.3,73.13,74.27,80.67,79.56,55.86,74.86,Pass
337,STU202400338,85.51,100.0,40.86,53.12,49.37,65.04,63.02,Pass
338,STU202400339,79.63,68.44,89.4,70.62,71.95,81.23,75.09,Pass
339,STU202400340,66.32,84.02,88.78,78.72,78.25,64.39,80.55,Pass
340,STU202400341,66.83,97.4,77.65,75.2,57.23,70.51,78.08,Pass
341,STU202400342,76.42,73.95,73.46,55.23,55.94,75.52,65.69,Pass
342,STU202400343,86.11,64.96,74.98,60.41,66.37,69.12,66.23,Pass
343,STU202400344,83.63,66.26,89.04,74.66,64.05,74.87,73.87,Pass
344,STU202400345,64.1,46.33,92.75,78.79,83.32,62.78,72.55,Pass
345,STU202400346,60.0,65.11,77.85,52.57,68.32,62.57,64.12,Pass
